root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               81.32               81.32                0.04                0.04
                3072              131072               80.31               80.31                0.04                0.04
                3072              262144               80.59               80.59                0.04                0.04
                3072              524288               80.37               80.37                0.04                0.04
                3072             1048576               81.00               81.00                0.04                0.04
                3072             2097152               80.39               80.39                0.04                0.04
                6144               65536               78.86               78.86                0.08                0.08
                6144              131072               78.19               78.19                0.08                0.08
                6144              262144               77.59               77.59                0.08                0.08
                6144              524288               77.99               77.99                0.08                0.08
                6144             1048576               76.23               76.23                0.08                0.08
                6144             2097152               76.44               76.44                0.08                0.08
               12288               65536               74.17               74.17                0.17                0.17
               12288              131072               72.80               72.80                0.17                0.17
               12288              262144               71.66               71.66                0.17                0.17
               12288              524288               70.66               70.66                0.17                0.17
               12288             1048576               70.48               70.48                0.17                0.17
               12288             2097152               70.42               70.42                0.17                0.17
               24576               65536               70.39               70.39                0.35                0.35
               24576              131072               70.94               70.94                0.35                0.35
               24576              262144               70.67               70.67                0.35                0.35
               24576              524288               70.60               70.60                0.35                0.35
               24576             1048576               73.21               73.21                0.34                0.34
               24576             2097152               70.25               70.25                0.35                0.35
               49152               65536               75.96               75.96                0.65                0.65
               49152              131072               70.73               70.73                0.69                0.69
               49152              262144               70.30               70.30                0.70                0.70
               49152              524288               70.50               70.50                0.70                0.70
               49152             1048576               70.52               70.52                0.70                0.70
               49152             2097152               70.91               70.91                0.69                0.69
               98304               65536               70.82               70.82                1.39                1.39
               98304              131072               70.78               70.78                1.39                1.39
               98304              262144               70.75               70.75                1.39                1.39
               98304              524288               70.72               70.72                1.39                1.39
               98304             1048576               73.68               73.68                1.33                1.33
               98304             2097152               70.42               70.42                1.40                1.40
              196608               65536               71.94               71.94                2.73                2.73
              196608              131072               72.81               72.81                2.70                2.70
              196608              262144               72.14               72.14                2.73                2.73
              196608              524288               72.02               72.02                2.73                2.73
              196608             1048576               71.98               71.98                2.73                2.73
              196608             2097152               71.62               71.62                2.75                2.75
              393216               65536               79.88               79.88                4.92                4.92
              393216              131072               80.42               80.42                4.89                4.89
              393216              262144               80.41               80.41                4.89                4.89
              393216              524288               80.72               80.72                4.87                4.87
              393216             1048576               80.04               80.04                4.91                4.91
              393216             2097152               80.14               80.14                4.91                4.91
              786432               65536               88.57               88.57                8.88                8.88
              786432              131072               88.50               88.50                8.89                8.89
              786432              262144               88.90               88.90                8.85                8.85
              786432              524288               88.32               88.32                8.90                8.90
              786432             1048576               89.26               89.26                8.81                8.81
              786432             2097152               92.49               92.49                8.50                8.50
             1572864               65536              104.51              104.51               15.05               15.05
             1572864              131072              109.94              109.94               14.31               14.31
             1572864              262144              110.82              110.82               14.19               14.19
             1572864              524288              110.26              110.26               14.26               14.26
             1572864             1048576              110.49              110.49               14.24               14.24
             1572864             2097152              109.95              109.95               14.31               14.31
             3145728               65536              120.79              120.79               26.04               26.04
             3145728              131072              134.18              134.18               23.44               23.44
             3145728              262144              153.97              153.97               20.43               20.43
             3145728              524288              154.08              154.08               20.42               20.42
             3145728             1048576              155.19              155.19               20.27               20.27
             3145728             2097152              154.54              154.54               20.36               20.36
             6291456               65536              154.74              154.74               40.66               40.66
             6291456              131072              159.89              159.89               39.35               39.35
             6291456              262144              194.14              194.14               32.41               32.41
             6291456              524288              239.70              239.70               26.25               26.25
             6291456             1048576              238.55              238.55               26.37               26.37
             6291456             2097152              238.48              238.48               26.38               26.38
            12582912               65536              221.51              221.51               56.80               56.80
            12582912              131072              206.75              206.75               60.86               60.86
            12582912              262144              233.34              233.34               53.93               53.93
            12582912              524288              313.99              313.99               40.07               40.07
            12582912             1048576              409.16              409.16               30.75               30.75
            12582912             2097152              409.25              409.25               30.75               30.75
            25165824               65536              354.71              354.71               70.95               70.95
            25165824              131072              297.87              297.87               84.49               84.49
            25165824              262144              301.36              301.36               83.51               83.51
            25165824              524288              375.54              375.54               67.01               67.01
            25165824             1048576              555.84              555.84               45.28               45.28
            25165824             2097152              743.81              743.81               33.83               33.83
            50331648               65536              618.39              618.39               81.39               81.39
            50331648              131072              479.26              479.26              105.02              105.02
            50331648              262144              440.13              440.13              114.36              114.36
            50331648              524288              490.34              490.34              102.65              102.65
            50331648             1048576              664.36              664.36               75.76               75.76
            50331648             2097152             1036.41             1036.41               48.56               48.56
           100663296               65536             1144.74             1144.74               87.94               87.94
           100663296              131072              836.84              836.84              120.29              120.29
           100663296              262144              715.06              715.06              140.78              140.78
           100663296              524288              743.82              743.82              135.33              135.33
           100663296             1048576              923.56              923.56              109.00              109.00
           100663296             2097152             1380.87             1380.87               72.90               72.90
           201326592               65536             2220.89             2220.89               90.65               90.65
           201326592              131072             1569.50             1569.50              128.27              128.27
           201326592              262144             1280.07             1280.07              157.28              157.28
           201326592              524288             1280.17             1280.17              157.27              157.27
           201326592             1048576             1442.82             1442.82              139.54              139.54
           201326592             2097152             1895.57             1895.57              106.21              106.21
           402653184               65536             4455.51             4455.51               90.37               90.37
           402653184              131072             3047.81             3047.81              132.11              132.11
           402653184              262144             2405.18             2405.18              167.41              167.41
           402653184              524288             2370.92             2370.92              169.83              169.83
           402653184             1048576             2482.73             2482.73              162.18              162.18
           402653184             2097152             2921.71             2921.71              137.81              137.81
           805306368               65536             8897.76             8897.76               90.51               90.51
           805306368              131072             6044.56             6044.56              133.23              133.23
           805306368              262144             4678.80             4678.80              172.12              172.12
           805306368              524288             4545.34             4545.34              177.17              177.17
           805306368             1048576             4587.52             4587.52              175.54              175.54
           805306368             2097152             5027.68             5027.68              160.17              160.17
          1610612736               65536            17769.39            17769.39               90.64               90.64
          1610612736              131072            12040.64            12040.64              133.76              133.76
          1610612736              262144             9233.22             9233.22              174.44              174.44
          1610612736              524288             8904.23             8904.23              180.88              180.88
          1610612736             1048576             8811.47             8811.47              182.79              182.79
          1610612736             2097152             9263.29             9263.29              173.87              173.87
          3221225472               65536            35508.72            35508.72               90.72               90.72
          3221225472              131072            24058.69            24058.69              133.89              133.89
          3221225472              262144            18442.24            18442.24              174.67              174.67
          3221225472              524288            17639.02            17639.02              182.62              182.62
          3221225472             1048576            17294.52            17294.52              186.26              186.26
          3221225472             2097152            17706.62            17706.62              181.92              181.92

####################################################### Allgather #######################################################
nranks=16
k=3
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               99.76               99.76                0.03                0.03
                3072              131072              100.49              100.49                0.03                0.03
                3072              262144              100.69              100.69                0.03                0.03
                3072              524288              100.42              100.42                0.03                0.03
                3072             1048576               99.93               99.93                0.03                0.03
                3072             2097152               99.81               99.81                0.03                0.03
                6144               65536               99.80               99.80                0.06                0.06
                6144              131072               99.55               99.55                0.06                0.06
                6144              262144               99.50               99.50                0.06                0.06
                6144              524288               99.85               99.85                0.06                0.06
                6144             1048576              100.35              100.35                0.06                0.06
                6144             2097152               99.59               99.59                0.06                0.06
               12288               65536               99.10               99.10                0.12                0.12
               12288              131072               98.89               98.89                0.12                0.12
               12288              262144               99.41               99.41                0.12                0.12
               12288              524288               98.95               98.95                0.12                0.12
               12288             1048576               99.32               99.32                0.12                0.12
               12288             2097152               99.43               99.43                0.12                0.12
               24576               65536               98.61               98.61                0.25                0.25
               24576              131072               98.70               98.70                0.25                0.25
               24576              262144               99.23               99.23                0.25                0.25
               24576              524288              103.22              103.22                0.24                0.24
               24576             1048576               98.91               98.91                0.25                0.25
               24576             2097152               98.83               98.83                0.25                0.25
               49152               65536               98.88               98.88                0.50                0.50
               49152              131072               99.00               99.00                0.50                0.50
               49152              262144               99.26               99.26                0.50                0.50
               49152              524288               98.92               98.92                0.50                0.50
               49152             1048576               98.97               98.97                0.50                0.50
               49152             2097152               98.68               98.68                0.50                0.50
               98304               65536               99.67               99.67                0.99                0.99
               98304              131072               99.25               99.25                0.99                0.99
               98304              262144               99.51               99.51                0.99                0.99
               98304              524288               99.23               99.23                0.99                0.99
               98304             1048576               99.10               99.10                0.99                0.99
               98304             2097152              100.55              100.55                0.98                0.98
              196608               65536              102.68              102.68                1.91                1.91
              196608              131072              102.89              102.89                1.91                1.91
              196608              262144              102.20              102.20                1.92                1.92
              196608              524288              102.55              102.55                1.92                1.92
              196608             1048576              101.97              101.97                1.93                1.93
              196608             2097152              101.99              101.99                1.93                1.93
              393216               65536              105.80              105.80                3.72                3.72
              393216              131072              104.57              104.57                3.76                3.76
              393216              262144              104.10              104.10                3.78                3.78
              393216              524288              103.37              103.37                3.80                3.80
              393216             1048576              103.76              103.76                3.79                3.79
              393216             2097152              103.85              103.85                3.79                3.79
              786432               65536              106.91              106.91                7.36                7.36
              786432              131072              106.90              106.90                7.36                7.36
              786432              262144              106.64              106.64                7.37                7.37
              786432              524288              106.74              106.74                7.37                7.37
              786432             1048576              106.99              106.99                7.35                7.35
              786432             2097152              107.15              107.15                7.34                7.34
             1572864               65536              118.12              118.12               13.32               13.32
             1572864              131072              117.79              117.79               13.35               13.35
             1572864              262144              117.57              117.57               13.38               13.38
             1572864              524288              117.61              117.61               13.37               13.37
             1572864             1048576              118.18              118.18               13.31               13.31
             1572864             2097152              117.46              117.46               13.39               13.39
             3145728               65536              136.57              136.57               23.03               23.03
             3145728              131072              137.72              137.72               22.84               22.84
             3145728              262144              143.41              143.41               21.94               21.94
             3145728              524288              136.39              136.39               23.06               23.06
             3145728             1048576              136.38              136.38               23.07               23.07
             3145728             2097152              136.34              136.34               23.07               23.07
             6291456               65536              169.36              169.36               37.15               37.15
             6291456              131072              174.98              174.98               35.96               35.96
             6291456              262144              174.99              174.99               35.95               35.95
             6291456              524288              175.33              175.33               35.88               35.88
             6291456             1048576              175.30              175.30               35.89               35.89
             6291456             2097152              175.20              175.20               35.91               35.91
            12582912               65536              221.02              221.02               56.93               56.93
            12582912              131072              216.10              216.10               58.23               58.23
            12582912              262144              248.45              248.45               50.65               50.65
            12582912              524288              251.04              251.04               50.12               50.12
            12582912             1048576              246.95              246.95               50.95               50.95
            12582912             2097152              249.10              249.10               50.51               50.51
            25165824               65536              345.18              345.18               72.91               72.91
            25165824              131072              293.73              293.73               85.68               85.68
            25165824              262144              305.32              305.32               82.43               82.43
            25165824              524288              376.57              376.57               66.83               66.83
            25165824             1048576              378.35              378.35               66.52               66.52
            25165824             2097152              373.84              373.84               67.32               67.32
            50331648               65536              638.20              638.20               78.87               78.87
            50331648              131072              467.66              467.66              107.62              107.62
            50331648              262144              437.39              437.39              115.07              115.07
            50331648              524288              483.07              483.07              104.19              104.19
            50331648             1048576              649.13              649.13               77.54               77.54
            50331648             2097152              708.25              708.25               71.06               71.06
           100663296               65536             1286.15             1286.15               78.27               78.27
           100663296              131072             1513.69             1513.69               66.50               66.50
           100663296              262144             1368.39             1368.39               73.56               73.56
           100663296              524288              699.94              699.94              143.82              143.82
           100663296             1048576              913.50              913.50              110.20              110.20
           100663296             2097152             1392.38             1392.38               72.30               72.30
           201326592               65536             2307.97             2307.97               87.23               87.23
           201326592              131072             1666.08             1666.08              120.84              120.84
           201326592              262144             1348.42             1348.42              149.31              149.31
           201326592              524288             1170.00             1170.00              172.07              172.07
           201326592             1048576             1306.02             1306.02              154.15              154.15
           201326592             2097152             1780.65             1780.65              113.06              113.06
           402653184               65536             4613.98             4613.98               87.27               87.27
           402653184              131072             3267.69             3267.69              123.22              123.22
           402653184              262144             2497.79             2497.79              161.20              161.20
           402653184              524288             2055.80             2055.80              195.86              195.86
           402653184             1048576             2153.04             2153.04              187.02              187.02
           402653184             2097152             2518.79             2518.79              159.86              159.86
           805306368               65536             8874.31             8874.31               90.75               90.75
           805306368              131072             6100.91             6100.91              132.00              132.00
           805306368              262144             4796.12             4796.12              167.91              167.91
           805306368              524288             3831.92             3831.92              210.16              210.16
           805306368             1048576             3634.81             3634.81              221.55              221.55
           805306368             2097152             4154.38             4154.38              193.85              193.85
          1610612736               65536            17728.77            17728.77               90.85               90.85
          1610612736              131072            12088.98            12088.98              133.23              133.23
          1610612736              262144             9443.02             9443.02              170.56              170.56
          1610612736              524288             7368.87             7368.87              218.57              218.57
          1610612736             1048576             6612.81             6612.81              243.56              243.56
          1610612736             2097152             7186.85             7186.85              224.11              224.11
          3221225472               65536            35363.09            35363.09               91.09               91.09
          3221225472              131072            24061.65            24061.65              133.87              133.87
          3221225472              262144            18671.79            18671.79              172.52              172.52
          3221225472              524288            14394.64            14394.64              223.78              223.78
          3221225472             1048576            12587.06            12587.06              255.92              255.92
          3221225472             2097152            13109.64            13109.64              245.71              245.71

####################################################### Allgather #######################################################
nranks=16
k=6
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536              156.15              156.15                0.02                0.02
                3072              131072              157.16              157.16                0.02                0.02
                3072              262144              155.97              155.97                0.02                0.02
                3072              524288              155.43              155.43                0.02                0.02
                3072             1048576              155.77              155.77                0.02                0.02
                3072             2097152              155.92              155.92                0.02                0.02
                6144               65536              155.78              155.78                0.04                0.04
                6144              131072              155.58              155.58                0.04                0.04
                6144              262144              155.61              155.61                0.04                0.04
                6144              524288              155.37              155.37                0.04                0.04
                6144             1048576              155.36              155.36                0.04                0.04
                6144             2097152              155.36              155.36                0.04                0.04
               12288               65536              155.73              155.73                0.08                0.08
               12288              131072              155.69              155.69                0.08                0.08
               12288              262144              155.54              155.54                0.08                0.08
               12288              524288              157.15              157.15                0.08                0.08
               12288             1048576              155.65              155.65                0.08                0.08
               12288             2097152              155.88              155.88                0.08                0.08
               24576               65536              155.33              155.33                0.16                0.16
               24576              131072              155.19              155.19                0.16                0.16
               24576              262144              155.37              155.37                0.16                0.16
               24576              524288              155.03              155.03                0.16                0.16
               24576             1048576              155.23              155.23                0.16                0.16
               24576             2097152              155.37              155.37                0.16                0.16
               49152               65536              155.34              155.34                0.32                0.32
               49152              131072              155.17              155.17                0.32                0.32
               49152              262144              155.54              155.54                0.32                0.32
               49152              524288              155.25              155.25                0.32                0.32
               49152             1048576              155.27              155.27                0.32                0.32
               49152             2097152              164.03              164.03                0.30                0.30
               98304               65536              155.51              155.51                0.63                0.63
               98304              131072              155.40              155.40                0.63                0.63
               98304              262144              155.51              155.51                0.63                0.63
               98304              524288              155.26              155.26                0.63                0.63
               98304             1048576              155.93              155.93                0.63                0.63
               98304             2097152              155.41              155.41                0.63                0.63
              196608               65536              156.29              156.29                1.26                1.26
              196608              131072              156.26              156.26                1.26                1.26
              196608              262144              156.13              156.13                1.26                1.26
              196608              524288              156.00              156.00                1.26                1.26
              196608             1048576              155.87              155.87                1.26                1.26
              196608             2097152              156.10              156.10                1.26                1.26
              393216               65536              161.72              161.72                2.43                2.43
              393216              131072              162.01              162.01                2.43                2.43
