root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               43.47               43.47                0.07                0.07
                3072              131072               44.30               44.30                0.07                0.07
                3072              262144               43.85               43.85                0.07                0.07
                3072              524288               43.46               43.46                0.07                0.07
                3072             1048576               44.93               44.93                0.07                0.07
                3072             2097152               44.33               44.33                0.07                0.07
                6144               65536               43.33               43.33                0.14                0.14
                6144              131072               44.45               44.45                0.14                0.14
                6144              262144               43.23               43.23                0.14                0.14
                6144              524288               42.87               42.87                0.14                0.14
                6144             1048576               43.27               43.27                0.14                0.14
                6144             2097152               43.37               43.37                0.14                0.14
               12288               65536               43.35               43.35                0.28                0.28
               12288              131072               43.07               43.07                0.29                0.29
               12288              262144               42.94               42.94                0.29                0.29
               12288              524288               42.84               42.84                0.29                0.29
               12288             1048576               42.93               42.93                0.29                0.29
               12288             2097152               42.54               42.54                0.29                0.29
               24576               65536               42.26               42.26                0.58                0.58
               24576              131072               42.49               42.49                0.58                0.58
               24576              262144               42.24               42.24                0.58                0.58
               24576              524288               41.31               41.31                0.59                0.59
               24576             1048576               41.31               41.31                0.59                0.59
               24576             2097152               38.92               38.92                0.63                0.63
               49152               65536               39.20               39.20                1.25                1.25
               49152              131072               39.09               39.09                1.26                1.26
               49152              262144               38.98               38.98                1.26                1.26
               49152              524288               39.06               39.06                1.26                1.26
               49152             1048576               39.30               39.30                1.25                1.25
               49152             2097152               38.93               38.93                1.26                1.26
               98304               65536               39.79               39.79                2.47                2.47
               98304              131072               39.64               39.64                2.48                2.48
