root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               45.40               45.40                0.07                0.07
                3072              131072               44.30               44.30                0.07                0.07
                3072              262144               44.53               44.53                0.07                0.07
                3072              524288               43.93               43.93                0.07                0.07
                3072             1048576               45.35               45.35                0.07                0.07
                3072             2097152               44.18               44.18                0.07                0.07
                3072             4194304               44.37               44.37                0.07                0.07
                6144               65536               44.12               44.12                0.14                0.14
                6144              131072               43.96               43.96                0.14                0.14
                6144              262144               44.21               44.21                0.14                0.14
                6144              524288               43.99               43.99                0.14                0.14
                6144             1048576               43.80               43.80                0.14                0.14
                6144             2097152               46.23               46.23                0.13                0.13
                6144             4194304               43.98               43.98                0.14                0.14
               12288               65536               45.68               45.68                0.27                0.27
               12288              131072               43.87               43.87                0.28                0.28
               12288              262144               43.83               43.83                0.28                0.28
               12288              524288               43.68               43.68                0.28                0.28
               12288             1048576               43.65               43.65                0.28                0.28
               12288             2097152               43.71               43.71                0.28                0.28
               12288             4194304               43.70               43.70                0.28                0.28
               24576               65536               43.79               43.79                0.56                0.56
               24576              131072               43.40               43.40                0.57                0.57
               24576              262144               42.93               42.93                0.57                0.57
               24576              524288               41.84               41.84                0.59                0.59
               24576             1048576               40.16               40.16                0.61                0.61
               24576             2097152               39.31               39.31                0.63                0.63
               24576             4194304               39.70               39.70                0.62                0.62
               49152               65536               39.55               39.55                1.24                1.24
               49152              131072               39.73               39.73                1.24                1.24
               49152              262144               39.54               39.54                1.24                1.24
