AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
nblocks=16, n_parallel_sm_blocks=1
KERNEL=pipeline_allgather_kernel_parallel_sm.cu::pipeline_allgather_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               46.34               46.34                0.07                0.07
                3072              131072               49.34               49.34                0.06                0.06
                3072              262144               45.99               45.99                0.07                0.07
                3072              524288               46.07               46.07                0.07                0.07
                3072             1048576               46.19               46.19                0.07                0.07
                3072             2097152               45.39               45.39                0.07                0.07
                3072             4194304               45.66               45.66                0.07                0.07
                6144               65536               45.23               45.23                0.14                0.14
                6144              131072               45.19               45.19                0.14                0.14
                6144              262144               45.16               45.16                0.14                0.14
                6144              524288               46.18               46.18                0.13                0.13
                6144             1048576               44.91               44.91                0.14                0.14
                6144             2097152               44.55               44.55                0.14                0.14
                6144             4194304               44.58               44.58                0.14                0.14
               12288               65536               43.87               43.87                0.28                0.28
               12288              131072               43.48               43.48                0.28                0.28
               12288              262144               43.38               43.38                0.28                0.28
               12288              524288               43.39               43.39                0.28                0.28
               12288             1048576               42.36               42.36                0.29                0.29
               12288             2097152               41.15               41.15                0.30                0.30
               12288             4194304               40.87               40.87                0.30                0.30
               24576               65536               40.72               40.72                0.60                0.60
               24576              131072               40.88               40.88                0.60                0.60
               24576              262144               40.73               40.73                0.60                0.60
               24576              524288               40.90               40.90                0.60                0.60
               24576             1048576               40.62               40.62                0.60                0.60
               24576             2097152               40.67               40.67                0.60                0.60
               24576             4194304               40.67               40.67                0.60                0.60
               49152               65536               40.78               40.78                1.21                1.21
               49152              131072               42.89               42.89                1.15                1.15
               49152              262144               41.02               41.02                1.20                1.20
               49152              524288               40.79               40.79                1.21                1.21
               49152             1048576               42.11               42.11                1.17                1.17
               49152             2097152               40.85               40.85                1.20                1.20
               49152             4194304               40.81               40.81                1.20                1.20
               98304               65536               41.40               41.40                2.37                2.37
               98304              131072               41.63               41.63                2.36                2.36
               98304              262144               41.54               41.54                2.37                2.37
               98304              524288               41.56               41.56                2.37                2.37
               98304             1048576               41.73               41.73                2.36                2.36
               98304             2097152               41.88               41.88                2.35                2.35
               98304             4194304               41.83               41.83                2.35                2.35
              196608               65536               42.56               42.56                4.62                4.62
              196608              131072               42.65               42.65                4.61                4.61
              196608              262144               42.36               42.36                4.64                4.64
              196608              524288               42.60               42.60                4.62                4.62
              196608             1048576               42.65               42.65                4.61                4.61
              196608             2097152               42.50               42.50                4.63                4.63
              196608             4194304               42.26               42.26                4.65                4.65
              393216               65536               44.48               44.48                8.84                8.84
              393216              131072               44.48               44.48                8.84                8.84
              393216              262144               44.44               44.44                8.85                8.85
              393216              524288               44.46               44.46                8.84                8.84
              393216             1048576               44.39               44.39                8.86                8.86
              393216             2097152               44.76               44.76                8.79                8.79
              393216             4194304               44.26               44.26                8.88                8.88
              786432               65536               46.67               46.67               16.85               16.85
              786432              131072               46.32               46.32               16.98               16.98
              786432              262144               46.81               46.81               16.80               16.80
              786432              524288               46.69               46.69               16.84               16.84
              786432             1048576               46.24               46.24               17.01               17.01
              786432             2097152               46.64               46.64               16.86               16.86
              786432             4194304               46.76               46.76               16.82               16.82
             1572864               65536               66.15               66.15               23.78               23.78
             1572864              131072               53.92               53.92               29.17               29.17
             1572864              262144               54.12               54.12               29.06               29.06
             1572864              524288               52.32               52.32               30.06               30.06
             1572864             1048576               52.11               52.11               30.18               30.18
             1572864             2097152               52.35               52.35               30.05               30.05
             1572864             4194304               52.23               52.23               30.11               30.11
             3145728               65536               91.11               91.11               34.53               34.53
             3145728              131072               73.27               73.27               42.94               42.94
             3145728              262144               63.62               63.62               49.44               49.44
             3145728              524288               62.81               62.81               50.08               50.08
             3145728             1048576               63.33               63.33               49.67               49.67
             3145728             2097152               63.39               63.39               49.63               49.63
             3145728             4194304               63.05               63.05               49.89               49.89
             6291456               65536              153.94              153.94               40.87               40.87
             6291456              131072              106.99              106.99               58.81               58.81
             6291456              262144               88.01               88.01               71.48               71.48
             6291456              524288               84.44               84.44               74.51               74.51
             6291456             1048576               84.46               84.46               74.49               74.49
             6291456             2097152               84.82               84.82               74.18               74.18
             6291456             4194304               87.64               87.64               71.78               71.78
            12582912               65536              275.83              275.83               45.62               45.62
            12582912              131072              181.14              181.14               69.47               69.47
            12582912              262144              132.72              132.72               94.81               94.81
            12582912              524288              116.09              116.09              108.39              108.39
            12582912             1048576              127.12              127.12               98.99               98.99
            12582912             2097152              127.22              127.22               98.91               98.91
            12582912             4194304              125.04              125.04              100.63              100.63
            25165824               65536              524.01              524.01               48.03               48.03
            25165824              131072              330.32              330.32               76.19               76.19
            25165824              262144              227.89              227.89              110.43              110.43
            25165824              524288              187.73              187.73              134.05              134.05
            25165824             1048576              188.18              188.18              133.73              133.73
            25165824             2097152              210.85              210.85              119.35              119.35
            25165824             4194304              208.54              208.54              120.68              120.68
            50331648               65536             1023.66             1023.66               49.17               49.17
            50331648              131072              628.32              628.32               80.11               80.11
            50331648              262144              415.55              415.55              121.12              121.12
            50331648              524288              331.29              331.29              151.92              151.92
            50331648             1048576              306.57              306.57              164.18              164.18
            50331648             2097152              353.71              353.71              142.30              142.30
            50331648             4194304              404.96              404.96              124.29              124.29
           100663296               65536             2048.69             2048.69               49.14               49.14
           100663296              131072             1241.85             1241.85               81.06               81.06
           100663296              262144              794.89              794.89              126.64              126.64
           100663296              524288              604.24              604.24              166.59              166.59
           100663296             1048576              536.42              536.42              187.66              187.66
           100663296             2097152              610.27              610.27              164.95              164.95
           100663296             4194304              713.13              713.13              141.16              141.16
           201326592               65536             4073.40             4073.40               49.42               49.42
           201326592              131072             2451.26             2451.26               82.13               82.13
           201326592              262144             1562.93             1562.93              128.81              128.81
           201326592              524288             1153.27             1153.27              174.57              174.57
           201326592             1048576             1045.07             1045.07              192.64              192.64
           201326592             2097152             1110.15             1110.15              181.35              181.35
           201326592             4194304             1201.03             1201.03              167.63              167.63
           402653184               65536             8128.47             8128.47               49.54               49.54
           402653184              131072             4880.45             4880.45               82.50               82.50
           402653184              262144             3081.11             3081.11              130.68              130.68
           402653184              524288             2237.07             2237.07              179.99              179.99
           402653184             1048576             2046.48             2046.48              196.75              196.75
           402653184             2097152             2103.62             2103.62              191.41              191.41
           402653184             4194304             2185.42             2185.42              184.25              184.25
           805306368               65536            16248.99            16248.99               49.56               49.56
           805306368              131072             9726.67             9726.67               82.79               82.79
           805306368              262144             6099.62             6099.62              132.03              132.03
           805306368              524288             4331.54             4331.54              185.92              185.92
           805306368             1048576             4034.67             4034.67              199.60              199.60
           805306368             2097152             4081.32             4081.32              197.32              197.32
           805306368             4194304             4148.54             4148.54              194.12              194.12
          1610612736               65536            32545.31            32545.31               49.49               49.49
          1610612736              131072            19417.31            19417.31               82.95               82.95
          1610612736              262144            12166.70            12166.70              132.38              132.38
          1610612736              524288             8577.33             8577.33              187.78              187.78
          1610612736             1048576             8037.65             8037.65              200.38              200.38
          1610612736             2097152             8041.57             8041.57              200.29              200.29
          1610612736             4194304             8087.48             8087.48              199.15              199.15
          3221225472               65536            65081.54            65081.54               49.50               49.50
          3221225472              131072            38820.64            38820.64               82.98               82.98
          3221225472              262144            24204.55            24204.55              133.08              133.08
          3221225472              524288            16850.21            16850.21              191.17              191.17
          3221225472             1048576            16031.21            16031.21              200.93              200.93
          3221225472             2097152            15970.17            15970.17              201.70              201.70
          3221225472             4194304            15978.22            15978.22              201.60              201.60

####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
nblocks=30, n_parallel_sm_blocks=2
KERNEL=pipeline_allgather_kernel_parallel_sm.cu::pipeline_allgather_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               43.63               43.63                0.07                0.07
                3072              131072               43.80               43.80                0.07                0.07
                3072              262144               44.10               44.10                0.07                0.07
                3072              524288               43.79               43.79                0.07                0.07
                3072             1048576               44.56               44.56                0.07                0.07
                3072             2097152               43.49               43.49                0.07                0.07
                3072             4194304               45.13               45.13                0.07                0.07
                6144               65536               43.14               43.14                0.14                0.14
                6144              131072               43.34               43.34                0.14                0.14
                6144              262144               45.90               45.90                0.13                0.13
                6144              524288               43.43               43.43                0.14                0.14
                6144             1048576               43.83               43.83                0.14                0.14
                6144             2097152               44.00               44.00                0.14                0.14
                6144             4194304               43.85               43.85                0.14                0.14
               12288               65536               43.41               43.41                0.28                0.28
               12288              131072               43.62               43.62                0.28                0.28
               12288              262144               43.56               43.56                0.28                0.28
               12288              524288               43.83               43.83                0.28                0.28
               12288             1048576               43.68               43.68                0.28                0.28
               12288             2097152               43.78               43.78                0.28                0.28
               12288             4194304               43.65               43.65                0.28                0.28
               24576               65536               43.38               43.38                0.57                0.57
               24576              131072               43.68               43.68                0.56                0.56
               24576              262144               43.51               43.51                0.56                0.56
               24576              524288               43.36               43.36                0.57                0.57
               24576             1048576               43.67               43.67                0.56                0.56
               24576             2097152               43.55               43.55                0.56                0.56
               24576             4194304               43.80               43.80                0.56                0.56
               49152               65536               43.92               43.92                1.12                1.12
               49152              131072               43.81               43.81                1.12                1.12
               49152              262144               43.84               43.84                1.12                1.12
               49152              524288               43.75               43.75                1.12                1.12
               49152             1048576               43.99               43.99                1.12                1.12
               49152             2097152               43.82               43.82                1.12                1.12
               49152             4194304               43.95               43.95                1.12                1.12
               98304               65536               44.73               44.73                2.20                2.20
               98304              131072               44.35               44.35                2.22                2.22
               98304              262144               44.76               44.76                2.20                2.20
               98304              524288               44.67               44.67                2.20                2.20
               98304             1048576               44.37               44.37                2.22                2.22
               98304             2097152               48.10               48.10                2.04                2.04
               98304             4194304               44.51               44.51                2.21                2.21
              196608               65536               45.26               45.26                4.34                4.34
              196608              131072               45.70               45.70                4.30                4.30
              196608              262144               45.40               45.40                4.33                4.33
              196608              524288               45.45               45.45                4.33                4.33
              196608             1048576               45.40               45.40                4.33                4.33
              196608             2097152               45.57               45.57                4.31                4.31
              196608             4194304               45.63               45.63                4.31                4.31
              393216               65536               46.54               46.54                8.45                8.45
              393216              131072               46.62               46.62                8.43                8.43
              393216              262144               46.78               46.78                8.41                8.41
              393216              524288               46.39               46.39                8.48                8.48
              393216             1048576               47.03               47.03                8.36                8.36
              393216             2097152               46.39               46.39                8.48                8.48
              393216             4194304               46.47               46.47                8.46                8.46
              786432               65536               48.49               48.49               16.22               16.22
              786432              131072               48.57               48.57               16.19               16.19
              786432              262144               48.59               48.59               16.19               16.19
              786432              524288               48.38               48.38               16.25               16.25
              786432             1048576               48.38               48.38               16.25               16.25
              786432             2097152               48.27               48.27               16.29               16.29
              786432             4194304               48.36               48.36               16.26               16.26
             1572864               65536               68.19               68.19               23.07               23.07
             1572864              131072               54.26               54.26               28.99               28.99
             1572864              262144               54.81               54.81               28.69               28.69
             1572864              524288               55.34               55.34               28.42               28.42
             1572864             1048576               55.23               55.23               28.48               28.48
             1572864             2097152               54.45               54.45               28.89               28.89
             1572864             4194304               53.93               53.93               29.16               29.16
             3145728               65536               92.77               92.77               33.91               33.91
             3145728              131072               75.75               75.75               41.53               41.53
             3145728              262144               63.33               63.33               49.67               49.67
             3145728              524288               62.90               62.90               50.01               50.01
             3145728             1048576               62.64               62.64               50.22               50.22
             3145728             2097152               62.57               62.57               50.28               50.28
             3145728             4194304               61.95               61.95               50.78               50.78
             6291456               65536              154.10              154.10               40.83               40.83
             6291456              131072              107.90              107.90               58.31               58.31
             6291456              262144               88.34               88.34               71.22               71.22
             6291456              524288               80.54               80.54               78.12               78.12
             6291456             1048576               79.73               79.73               78.91               78.91
             6291456             2097152               80.31               80.31               78.34               78.34
             6291456             4194304               79.87               79.87               78.77               78.77
            12582912               65536              277.84              277.84               45.29               45.29
            12582912              131072              181.15              181.15               69.46               69.46
            12582912              262144              130.92              130.92               96.11               96.11
            12582912              524288              113.05              113.05              111.30              111.30
            12582912             1048576              110.82              110.82              113.55              113.55
            12582912             2097152              110.56              110.56              113.81              113.81
            12582912             4194304              111.84              111.84              112.51              112.51
            25165824               65536              524.52              524.52               47.98               47.98
            25165824              131072              328.49              328.49               76.61               76.61
            25165824              262144              223.67              223.67              112.51              112.51
            25165824              524288              177.63              177.63              141.67              141.67
            25165824             1048576              162.21              162.21              155.14              155.14
            25165824             2097152              175.09              175.09              143.73              143.73
            25165824             4194304              175.30              175.30              143.56              143.56
            50331648               65536             1024.39             1024.39               49.13               49.13
            50331648              131072              629.92              629.92               79.90               79.90
            50331648              262144              412.62              412.62              121.98              121.98
            50331648              524288              317.26              317.26              158.65              158.65
            50331648             1048576              274.22              274.22              183.55              183.55
            50331648             2097152              269.18              269.18              186.98              186.98
            50331648             4194304              311.22              311.22              161.72              161.72
           100663296               65536             2049.14             2049.14               49.12               49.12
           100663296              131072             1246.54             1246.54               80.75               80.75
           100663296              262144              799.07              799.07              125.98              125.98
           100663296              524288              599.31              599.31              167.97              167.97
           100663296             1048576              491.29              491.29              204.89              204.89
           100663296             2097152              483.35              483.35              208.26              208.26
           100663296             4194304              518.55              518.55              194.12              194.12
           201326592               65536             4074.34             4074.34               49.41               49.41
           201326592              131072             2457.27             2457.27               81.93               81.93
           201326592              262144             1568.82             1568.82              128.33              128.33
           201326592              524288             1169.70             1169.70              172.12              172.12
           201326592             1048576              940.32              940.32              214.10              214.10
           201326592             2097152              873.98              873.98              230.36              230.36
           201326592             4194304              907.98              907.98              221.73              221.73
           402653184               65536             8134.51             8134.51               49.50               49.50
           402653184              131072             4888.25             4888.25               82.37               82.37
           402653184              262144             3084.02             3084.02              130.56              130.56
           402653184              524288             2249.81             2249.81              178.97              178.97
           402653184             1048576             1806.52             1806.52              222.89              222.89
           402653184             2097152             1638.59             1638.59              245.73              245.73
           402653184             4194304             1658.98             1658.98              242.71              242.71
           805306368               65536            16266.69            16266.69               49.51               49.51
           805306368              131072             9729.82             9729.82               82.77               82.77
