AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               39.61               39.61                0.08                0.08
                3072              131072               39.40               39.40                0.08                0.08
                3072              262144               39.31               39.31                0.08                0.08
                3072              524288               39.59               39.59                0.08                0.08
                3072             1048576               39.30               39.30                0.08                0.08
                3072             2097152               39.55               39.55                0.08                0.08
                3072             4194304               39.37               39.37                0.08                0.08
                3072             8388608               39.14               39.14                0.08                0.08
                3072            16777216               39.45               39.45                0.08                0.08
                3072            33554432               39.32               39.32                0.08                0.08
                3072            67108864               39.00               39.00                0.08                0.08
                6144               65536               39.57               39.57                0.16                0.16
                6144              131072               39.56               39.56                0.16                0.16
                6144              262144               39.55               39.55                0.16                0.16
                6144              524288               39.34               39.34                0.16                0.16
                6144             1048576               39.24               39.24                0.16                0.16
                6144             2097152               39.35               39.35                0.16                0.16
                6144             4194304               36.82               36.82                0.17                0.17
                6144             8388608               36.88               36.88                0.17                0.17
                6144            16777216               34.88               34.88                0.18                0.18
                6144            33554432               34.81               34.81                0.18                0.18
                6144            67108864               34.69               34.69                0.18                0.18
               12288               65536               35.08               35.08                0.35                0.35
               12288              131072               35.06               35.06                0.35                0.35
               12288              262144               35.01               35.01                0.35                0.35
               12288              524288               34.99               34.99                0.35                0.35
               12288             1048576               35.12               35.12                0.35                0.35
               12288             2097152               35.04               35.04                0.35                0.35
               12288             4194304               35.18               35.18                0.35                0.35
               12288             8388608               35.07               35.07                0.35                0.35
               12288            16777216               35.06               35.06                0.35                0.35
               12288            33554432               34.89               34.89                0.35                0.35
               12288            67108864               34.74               34.74                0.35                0.35
               24576               65536               35.16               35.16                0.70                0.70
               24576              131072               35.47               35.47                0.69                0.69
               24576              262144               37.46               37.46                0.66                0.66
               24576              524288               35.16               35.16                0.70                0.70
               24576             1048576               37.90               37.90                0.65                0.65
               24576             2097152               35.22               35.22                0.70                0.70
               24576             4194304               35.13               35.13                0.70                0.70
               24576             8388608               35.45               35.45                0.69                0.69
               24576            16777216               35.40               35.40                0.69                0.69
               24576            33554432               35.32               35.32                0.70                0.70
               24576            67108864               35.41               35.41                0.69                0.69
               49152               65536               35.96               35.96                1.37                1.37
               49152              131072               35.80               35.80                1.37                1.37
               49152              262144               35.69               35.69                1.38                1.38
