AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               39.72               39.72                0.08                0.08
                3072              131072               41.75               41.75                0.07                0.07
                3072              262144               39.20               39.20                0.08                0.08
                3072              524288               39.40               39.40                0.08                0.08
                3072             1048576               39.62               39.62                0.08                0.08
                3072             2097152               39.79               39.79                0.08                0.08
                3072             4194304               39.54               39.54                0.08                0.08
                6144               65536               39.55               39.55                0.16                0.16
                6144              131072               39.46               39.46                0.16                0.16
                6144              262144               39.41               39.41                0.16                0.16
                6144              524288               39.79               39.79                0.15                0.15
                6144             1048576               39.22               39.22                0.16                0.16
                6144             2097152               39.76               39.76                0.15                0.15
                6144             4194304               39.26               39.26                0.16                0.16
               12288               65536               37.95               37.95                0.32                0.32
               12288              131072               38.12               38.12                0.32                0.32
               12288              262144               37.90               37.90                0.32                0.32
               12288              524288               37.89               37.89                0.32                0.32
               12288             1048576               38.03               38.03                0.32                0.32
               12288             2097152               37.90               37.90                0.32                0.32
               12288             4194304               37.78               37.78                0.33                0.33
               24576               65536               38.24               38.24                0.64                0.64
               24576              131072               37.96               37.96                0.65                0.65
               24576              262144               37.09               37.09                0.66                0.66
               24576              524288               36.36               36.36                0.68                0.68
               24576             1048576               36.35               36.35                0.68                0.68
               24576             2097152               36.15               36.15                0.68                0.68
               24576             4194304               36.60               36.60                0.67                0.67
               49152               65536               36.63               36.63                1.34                1.34
               49152              131072               37.04               37.04                1.33                1.33
               49152              262144               36.72               36.72                1.34                1.34
               49152              524288               36.83               36.83                1.33                1.33
               49152             1048576               36.40               36.40                1.35                1.35
               49152             2097152               36.63               36.63                1.34                1.34
               49152             4194304               36.74               36.74                1.34                1.34
               98304               65536               38.09               38.09                2.58                2.58
               98304              131072               38.25               38.25                2.57                2.57
               98304              262144               38.41               38.41                2.56                2.56
               98304              524288               38.14               38.14                2.58                2.58
               98304             1048576               38.03               38.03                2.58                2.58
               98304             2097152               38.26               38.26                2.57                2.57
               98304             4194304               38.08               38.08                2.58                2.58
              196608               65536               40.42               40.42                4.86                4.86
              196608              131072               40.71               40.71                4.83                4.83
              196608              262144               40.45               40.45                4.86                4.86
              196608              524288               40.53               40.53                4.85                4.85
              196608             1048576               40.83               40.83                4.82                4.82
              196608             2097152               40.80               40.80                4.82                4.82
              196608             4194304               40.63               40.63                4.84                4.84
              393216               65536               43.57               43.57                9.02                9.02
              393216              131072               44.02               44.02                8.93                8.93
              393216              262144               43.45               43.45                9.05                9.05
              393216              524288               43.43               43.43                9.05                9.05
              393216             1048576               43.51               43.51                9.04                9.04
