AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               52.43               52.43                0.06                0.06
                3072              131072               52.07               52.07                0.06                0.06
                3072              262144               51.99               51.99                0.06                0.06
                3072              524288               52.08               52.08                0.06                0.06
                3072             1048576               51.87               51.87                0.06                0.06
                3072             2097152               52.31               52.31                0.06                0.06
                3072             4194304               52.10               52.10                0.06                0.06
                6144               65536               52.03               52.03                0.12                0.12
                6144              131072               52.09               52.09                0.12                0.12
                6144              262144               51.96               51.96                0.12                0.12
                6144              524288               52.17               52.17                0.12                0.12
                6144             1048576               52.28               52.28                0.12                0.12
                6144             2097152               52.44               52.44                0.12                0.12
                6144             4194304               52.19               52.19                0.12                0.12
               12288               65536               52.13               52.13                0.24                0.24
               12288              131072               52.52               52.52                0.23                0.23
               12288              262144               52.16               52.16                0.24                0.24
               12288              524288               49.48               49.48                0.25                0.25
               12288             1048576               49.44               49.44                0.25                0.25
               12288             2097152               49.33               49.33                0.25                0.25
               12288             4194304               49.23               49.23                0.25                0.25
               24576               65536               49.65               49.65                0.49                0.49
               24576              131072               49.69               49.69                0.49                0.49
               24576              262144               49.37               49.37                0.50                0.50
               24576              524288               49.77               49.77                0.49                0.49
               24576             1048576               49.60               49.60                0.50                0.50
               24576             2097152               46.23               46.23                0.53                0.53
               24576             4194304               46.27               46.27                0.53                0.53
               49152               65536               49.44               49.44                0.99                0.99
               49152              131072               46.76               46.76                1.05                1.05
               49152              262144               46.57               46.57                1.06                1.06
               49152              524288               46.87               46.87                1.05                1.05
               49152             1048576               46.58               46.58                1.06                1.06
               49152             2097152               46.47               46.47                1.06                1.06
               49152             4194304               46.55               46.55                1.06                1.06
               98304               65536               47.63               47.63                2.06                2.06
               98304              131072               47.26               47.26                2.08                2.08
               98304              262144               47.37               47.37                2.08                2.08
               98304              524288               47.40               47.40                2.07                2.07
               98304             1048576               47.39               47.39                2.07                2.07
               98304             2097152               47.69               47.69                2.06                2.06
               98304             4194304               47.68               47.68                2.06                2.06
              196608               65536               49.66               49.66                3.96                3.96
              196608              131072               49.48               49.48                3.97                3.97
              196608              262144               49.39               49.39                3.98                3.98
              196608              524288               49.18               49.18                4.00                4.00
              196608             1048576               49.43               49.43                3.98                3.98
              196608             2097152               49.55               49.55                3.97                3.97
              196608             4194304               49.75               49.75                3.95                3.95
              393216               65536               56.49               56.49                6.96                6.96
              393216              131072               56.44               56.44                6.97                6.97
              393216              262144               56.57               56.57                6.95                6.95
              393216              524288               56.69               56.69                6.94                6.94
              393216             1048576               56.69               56.69                6.94                6.94
              393216             2097152               56.75               56.75                6.93                6.93
              393216             4194304               56.55               56.55                6.95                6.95
              786432               65536               63.43               63.43               12.40               12.40
              786432              131072               63.44               63.44               12.40               12.40
              786432              262144               63.93               63.93               12.30               12.30
              786432              524288               63.06               63.06               12.47               12.47
              786432             1048576               63.87               63.87               12.31               12.31
              786432             2097152               63.72               63.72               12.34               12.34
              786432             4194304               63.22               63.22               12.44               12.44
             1572864               65536               85.21               85.21               18.46               18.46
             1572864              131072               84.37               84.37               18.64               18.64
             1572864              262144               84.22               84.22               18.67               18.67
             1572864              524288               84.71               84.71               18.57               18.57
             1572864             1048576               84.83               84.83               18.54               18.54
             1572864             2097152               84.86               84.86               18.54               18.54
             1572864             4194304               84.03               84.03               18.72               18.72
             3145728               65536              118.62              118.62               26.52               26.52
             3145728              131072              118.41              118.41               26.57               26.57
             3145728              262144              126.75              126.75               24.82               24.82
             3145728              524288              126.44              126.44               24.88               24.88
             3145728             1048576              128.55              128.55               24.47               24.47
             3145728             2097152              126.61              126.61               24.85               24.85
             3145728             4194304              127.11              127.11               24.75               24.75
             6291456               65536              188.18              188.18               33.43               33.43
             6291456              131072              180.26              180.26               34.90               34.90
             6291456              262144              190.86              190.86               32.96               32.96
             6291456              524288              210.48              210.48               29.89               29.89
             6291456             1048576              207.11              207.11               30.38               30.38
             6291456             2097152              210.14              210.14               29.94               29.94
             6291456             4194304              208.31              208.31               30.20               30.20
            12582912               65536              337.80              337.80               37.25               37.25
            12582912              131072              316.01              316.01               39.82               39.82
            12582912              262144              315.03              315.03               39.94               39.94
            12582912              524288              323.59              323.59               38.88               38.88
            12582912             1048576              370.80              370.80               33.93               33.93
            12582912             2097152              375.16              375.16               33.54               33.54
            12582912             4194304              369.02              369.02               34.10               34.10
