AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               47.34               47.34                0.06                0.06
                3072              131072               47.20               47.20                0.07                0.07
                3072              262144               47.00               47.00                0.07                0.07
                3072              524288               47.58               47.58                0.06                0.06
                3072             1048576               47.13               47.13                0.07                0.07
                3072             2097152               47.13               47.13                0.07                0.07
                3072             4194304               47.23               47.23                0.07                0.07
                3072             8388608               47.13               47.13                0.07                0.07
                3072            16777216               47.46               47.46                0.06                0.06
                3072            33554432               47.12               47.12                0.07                0.07
                3072            67108864               47.24               47.24                0.07                0.07
                6144               65536               47.13               47.13                0.13                0.13
                6144              131072               47.02               47.02                0.13                0.13
                6144              262144               47.01               47.01                0.13                0.13
                6144              524288               47.29               47.29                0.13                0.13
                6144             1048576               47.13               47.13                0.13                0.13
                6144             2097152               46.95               46.95                0.13                0.13
                6144             4194304               47.14               47.14                0.13                0.13
                6144             8388608               47.06               47.06                0.13                0.13
                6144            16777216               44.64               44.64                0.14                0.14
                6144            33554432               44.42               44.42                0.14                0.14
                6144            67108864               41.97               41.97                0.15                0.15
               12288               65536               41.94               41.94                0.29                0.29
               12288              131072               42.43               42.43                0.29                0.29
               12288              262144               42.39               42.39                0.29                0.29
               12288              524288               42.10               42.10                0.29                0.29
               12288             1048576               42.38               42.38                0.29                0.29
               12288             2097152               42.26               42.26                0.29                0.29
               12288             4194304               42.27               42.27                0.29                0.29
               12288             8388608               42.07               42.07                0.29                0.29
               12288            16777216               42.13               42.13                0.29                0.29
               12288            33554432               42.40               42.40                0.29                0.29
               12288            67108864               42.41               42.41                0.29                0.29
               24576               65536               42.48               42.48                0.58                0.58
               24576              131072               42.32               42.32                0.58                0.58
               24576              262144               42.56               42.56                0.58                0.58
               24576              524288               42.75               42.75                0.57                0.57
               24576             1048576               42.43               42.43                0.58                0.58
               24576             2097152               42.31               42.31                0.58                0.58
               24576             4194304               42.29               42.29                0.58                0.58
               24576             8388608               42.55               42.55                0.58                0.58
               24576            16777216               42.75               42.75                0.57                0.57
               24576            33554432               42.38               42.38                0.58                0.58
               24576            67108864               42.69               42.69                0.58                0.58
               49152               65536               42.66               42.66                1.15                1.15
               49152              131072               42.90               42.90                1.15                1.15
               49152              262144               42.75               42.75                1.15                1.15
               49152              524288               42.89               42.89                1.15                1.15
               49152             1048576               42.69               42.69                1.15                1.15
               49152             2097152               42.73               42.73                1.15                1.15
               49152             4194304               42.50               42.50                1.16                1.16
               49152             8388608               42.91               42.91                1.15                1.15
               49152            16777216               43.24               43.24                1.14                1.14
               49152            33554432               42.66               42.66                1.15                1.15
               49152            67108864               42.80               42.80                1.15                1.15
               98304               65536               44.22               44.22                2.22                2.22
               98304              131072               43.89               43.89                2.24                2.24
               98304              262144               44.02               44.02                2.23                2.23
               98304              524288               43.61               43.61                2.25                2.25
               98304             1048576               43.68               43.68                2.25                2.25
               98304             2097152               43.94               43.94                2.24                2.24
               98304             4194304               43.82               43.82                2.24                2.24
               98304             8388608               43.51               43.51                2.26                2.26
               98304            16777216               43.75               43.75                2.25                2.25
               98304            33554432               43.85               43.85                2.24                2.24
               98304            67108864               43.99               43.99                2.23                2.23
              196608               65536               46.18               46.18                4.26                4.26
              196608              131072               45.88               45.88                4.29                4.29
              196608              262144               46.28               46.28                4.25                4.25
              196608              524288               46.03               46.03                4.27                4.27
              196608             1048576               46.17               46.17                4.26                4.26
              196608             2097152               46.10               46.10                4.26                4.26
              196608             4194304               45.93               45.93                4.28                4.28
              196608             8388608               46.18               46.18                4.26                4.26
              196608            16777216               45.82               45.82                4.29                4.29
              196608            33554432               45.95               45.95                4.28                4.28
              196608            67108864               46.41               46.41                4.24                4.24
              393216               65536               49.09               49.09                8.01                8.01
              393216              131072               49.04               49.04                8.02                8.02
              393216              262144               49.20               49.20                7.99                7.99
              393216              524288               49.09               49.09                8.01                8.01
              393216             1048576               49.09               49.09                8.01                8.01
              393216             2097152               51.22               51.22                7.68                7.68
              393216             4194304               49.43               49.43                7.96                7.96
              393216             8388608               49.25               49.25                7.98                7.98
              393216            16777216               49.29               49.29                7.98                7.98
              393216            33554432               49.13               49.13                8.00                8.00
              393216            67108864               49.03               49.03                8.02                8.02
              786432               65536               53.17               53.17               14.79               14.79
              786432              131072               52.64               52.64               14.94               14.94
              786432              262144               52.99               52.99               14.84               14.84
              786432              524288               53.14               53.14               14.80               14.80
              786432             1048576               52.76               52.76               14.91               14.91
              786432             2097152               52.75               52.75               14.91               14.91
              786432             4194304               52.81               52.81               14.89               14.89
              786432             8388608               52.54               52.54               14.97               14.97
              786432            16777216               53.11               53.11               14.81               14.81
              786432            33554432               52.80               52.80               14.90               14.90
              786432            67108864               53.51               53.51               14.70               14.70
             1572864               65536               70.60               70.60               22.28               22.28
             1572864              131072               59.94               59.94               26.24               26.24
             1572864              262144               59.64               59.64               26.37               26.37
             1572864              524288               59.56               59.56               26.41               26.41
             1572864             1048576               59.74               59.74               26.33               26.33
             1572864             2097152               59.47               59.47               26.45               26.45
             1572864             4194304               59.25               59.25               26.55               26.55
             1572864             8388608               59.65               59.65               26.37               26.37
             1572864            16777216               58.86               58.86               26.72               26.72
             1572864            33554432               59.30               59.30               26.52               26.52
             1572864            67108864               59.24               59.24               26.55               26.55
             3145728               65536               90.30               90.30               34.84               34.84
             3145728              131072               85.30               85.30               36.88               36.88
             3145728              262144               76.35               76.35               41.20               41.20
             3145728              524288               78.33               78.33               40.16               40.16
             3145728             1048576               79.38               79.38               39.63               39.63
             3145728             2097152               77.19               77.19               40.75               40.75
             3145728             4194304               78.83               78.83               39.91               39.91
             3145728             8388608               77.24               77.24               40.73               40.73
             3145728            16777216               78.67               78.67               39.98               39.98
             3145728            33554432               74.98               74.98               41.96               41.96
             3145728            67108864               75.27               75.27               41.79               41.79
             6291456               65536              137.39              137.39               45.79               45.79
             6291456              131072              117.74              117.74               53.44               53.44
             6291456              262144              113.70              113.70               55.33               55.33
             6291456              524288              105.80              105.80               59.47               59.47
             6291456             1048576              109.59              109.59               57.41               57.41
             6291456             2097152              103.45              103.45               60.81               60.81
             6291456             4194304              109.81              109.81               57.29               57.29
             6291456             8388608              105.97              105.97               59.37               59.37
             6291456            16777216              107.39              107.39               58.59               58.59
             6291456            33554432              106.81              106.81               58.90               58.90
             6291456            67108864              107.10              107.10               58.74               58.74
            12582912               65536              233.45              233.45               53.90               53.90
            12582912              131072              185.43              185.43               67.86               67.86
