AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               38.74               38.74                0.08                0.08
                3072              131072               39.29               39.29                0.08                0.08
                3072              262144               38.69               38.69                0.08                0.08
                3072              524288               38.47               38.47                0.08                0.08
                3072             1048576               38.94               38.94                0.08                0.08
                3072             2097152               38.79               38.79                0.08                0.08
                3072             4194304               38.49               38.49                0.08                0.08
                3072             8388608               38.64               38.64                0.08                0.08
                3072            16777216               38.54               38.54                0.08                0.08
                3072            33554432               38.31               38.31                0.08                0.08
                3072            67108864               38.31               38.31                0.08                0.08
                6144               65536               38.62               38.62                0.16                0.16
                6144              131072               38.50               38.50                0.16                0.16
                6144              262144               38.55               38.55                0.16                0.16
                6144              524288               38.45               38.45                0.16                0.16
                6144             1048576               38.65               38.65                0.16                0.16
                6144             2097152               36.71               36.71                0.17                0.17
                6144             4194304               36.86               36.86                0.17                0.17
                6144             8388608               36.93               36.93                0.17                0.17
                6144            16777216               36.86               36.86                0.17                0.17
                6144            33554432               36.72               36.72                0.17                0.17
                6144            67108864               36.66               36.66                0.17                0.17
               12288               65536               36.73               36.73                0.33                0.33
               12288              131072               36.55               36.55                0.34                0.34
               12288              262144               36.63               36.63                0.34                0.34
               12288              524288               36.58               36.58                0.34                0.34
               12288             1048576               36.76               36.76                0.33                0.33
               12288             2097152               36.55               36.55                0.34                0.34
               12288             4194304               36.66               36.66                0.34                0.34
               12288             8388608               36.29               36.29                0.34                0.34
               12288            16777216               35.18               35.18                0.35                0.35
               12288            33554432               35.09               35.09                0.35                0.35
               12288            67108864               35.06               35.06                0.35                0.35
               24576               65536               35.28               35.28                0.70                0.70
               24576              131072               35.38               35.38                0.69                0.69
               24576              262144               35.42               35.42                0.69                0.69
               24576              524288               35.48               35.48                0.69                0.69
               24576             1048576               35.26               35.26                0.70                0.70
               24576             2097152               35.53               35.53                0.69                0.69
               24576             4194304               35.64               35.64                0.69                0.69
               24576             8388608               35.35               35.35                0.70                0.70
               24576            16777216               35.49               35.49                0.69                0.69
               24576            33554432               35.55               35.55                0.69                0.69
               24576            67108864               35.42               35.42                0.69                0.69
               49152               65536               35.94               35.94                1.37                1.37
               49152              131072               35.75               35.75                1.37                1.37
               49152              262144               35.92               35.92                1.37                1.37
               49152              524288               35.91               35.91                1.37                1.37
               49152             1048576               35.84               35.84                1.37                1.37
               49152             2097152               35.61               35.61                1.38                1.38
               49152             4194304               35.71               35.71                1.38                1.38
               49152             8388608               35.75               35.75                1.37                1.37
               49152            16777216               36.14               36.14                1.36                1.36
               49152            33554432               35.72               35.72                1.38                1.38
               49152            67108864               36.22               36.22                1.36                1.36
               98304               65536               36.83               36.83                2.67                2.67
               98304              131072               37.17               37.17                2.64                2.64
               98304              262144               37.12               37.12                2.65                2.65
               98304              524288               37.24               37.24                2.64                2.64
               98304             1048576               37.05               37.05                2.65                2.65
               98304             2097152               37.27               37.27                2.64                2.64
               98304             4194304               37.40               37.40                2.63                2.63
               98304             8388608               37.24               37.24                2.64                2.64
               98304            16777216               37.02               37.02                2.66                2.66
               98304            33554432               37.23               37.23                2.64                2.64
               98304            67108864               37.25               37.25                2.64                2.64
              196608               65536               39.82               39.82                4.94                4.94
              196608              131072               39.56               39.56                4.97                4.97
              196608              262144               39.68               39.68                4.95                4.95
              196608              524288               39.56               39.56                4.97                4.97
              196608             1048576               39.85               39.85                4.93                4.93
              196608             2097152               39.76               39.76                4.94                4.94
              196608             4194304               39.45               39.45                4.98                4.98
              196608             8388608               39.53               39.53                4.97                4.97
              196608            16777216               39.59               39.59                4.97                4.97
              196608            33554432               39.79               39.79                4.94                4.94
              196608            67108864               39.46               39.46                4.98                4.98
              393216               65536               42.73               42.73                9.20                9.20
              393216              131072               42.74               42.74                9.20                9.20
              393216              262144               42.62               42.62                9.23                9.23
              393216              524288               42.87               42.87                9.17                9.17
              393216             1048576               43.03               43.03                9.14                9.14
              393216             2097152               42.80               42.80                9.19                9.19
              393216             4194304               42.93               42.93                9.16                9.16
              393216             8388608               42.67               42.67                9.22                9.22
              393216            16777216               42.85               42.85                9.18                9.18
