AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=False
nblocks=16, n_parallel_sm_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_hack.cu::pipeline_reduceScatter_hack_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               94.76               94.76                0.03                0.03
                3072              131072               92.51               92.51                0.03                0.03
                3072              262144               92.61               92.61                0.03                0.03
                3072              524288               95.05               95.05                0.03                0.03
                3072             1048576               91.90               91.90                0.03                0.03
                3072             2097152               91.32               91.32                0.03                0.03
                3072             4194304               90.23               90.23                0.03                0.03
                6144               65536               90.21               90.21                0.07                0.07
                6144              131072               88.64               88.64                0.07                0.07
                6144              262144               86.97               86.97                0.07                0.07
                6144              524288               86.35               86.35                0.07                0.07
                6144             1048576               84.01               84.01                0.07                0.07
                6144             2097152               84.33               84.33                0.07                0.07
                6144             4194304               84.00               84.00                0.07                0.07
               12288               65536               82.44               82.44                0.15                0.15
               12288              131072               82.31               82.31                0.15                0.15
               12288              262144               80.87               80.87                0.15                0.15
               12288              524288               80.72               80.72                0.15                0.15
               12288             1048576               80.99               80.99                0.15                0.15
               12288             2097152               80.72               80.72                0.15                0.15
               12288             4194304               82.59               82.59                0.15                0.15
               24576               65536               80.75               80.75                0.30                0.30
               24576              131072               82.54               82.54                0.30                0.30
               24576              262144               82.11               82.11                0.30                0.30
               24576              524288               84.41               84.41                0.29                0.29
               24576             1048576               81.06               81.06                0.30                0.30
               24576             2097152               81.18               81.18                0.30                0.30
               24576             4194304               80.99               80.99                0.30                0.30
               49152               65536               81.54               81.54                0.60                0.60
               49152              131072               81.64               81.64                0.60                0.60
               49152              262144               81.62               81.62                0.60                0.60
               49152              524288               81.85               81.85                0.60                0.60
               49152             1048576               81.25               81.25                0.60                0.60
               49152             2097152               81.90               81.90                0.60                0.60
               49152             4194304               81.58               81.58                0.60                0.60
               98304               65536               82.02               82.02                1.20                1.20
               98304              131072               82.68               82.68                1.19                1.19
               98304              262144               82.02               82.02                1.20                1.20
               98304              524288               81.80               81.80                1.20                1.20
               98304             1048576               82.11               82.11                1.20                1.20
               98304             2097152               82.16               82.16                1.20                1.20
               98304             4194304               82.47               82.47                1.19                1.19
              196608               65536               84.52               84.52                2.33                2.33
              196608              131072               84.41               84.41                2.33                2.33
              196608              262144               84.08               84.08                2.34                2.34
              196608              524288               84.34               84.34                2.33                2.33
              196608             1048576               84.21               84.21                2.33                2.33
              196608             2097152               84.61               84.61                2.32                2.32
              196608             4194304               84.38               84.38                2.33                2.33
