AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=15, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               86.47               86.47                0.04                0.04
                3072              131072               85.99               85.99                0.04                0.04
                3072              262144               86.95               86.95                0.04                0.04
                3072              524288               86.24               86.24                0.04                0.04
                3072             1048576               86.87               86.87                0.04                0.04
                3072             2097152               85.52               85.52                0.04                0.04
                3072             4194304               84.72               84.72                0.04                0.04
                6144               65536               83.40               83.40                0.07                0.07
                6144              131072               82.05               82.05                0.07                0.07
                6144              262144               79.87               79.87                0.08                0.08
                6144              524288               79.34               79.34                0.08                0.08
                6144             1048576               78.54               78.54                0.08                0.08
                6144             2097152               78.48               78.48                0.08                0.08
                6144             4194304               78.76               78.76                0.08                0.08
               12288               65536               77.40               77.40                0.16                0.16
               12288              131072               76.90               76.90                0.16                0.16
               12288              262144               76.02               76.02                0.16                0.16
               12288              524288               75.91               75.91                0.16                0.16
               12288             1048576               75.25               75.25                0.16                0.16
               12288             2097152               75.58               75.58                0.16                0.16
               12288             4194304               75.57               75.57                0.16                0.16
               24576               65536               75.76               75.76                0.32                0.32
               24576              131072               76.46               76.46                0.32                0.32
               24576              262144               75.76               75.76                0.32                0.32
               24576              524288               75.64               75.64                0.32                0.32
               24576             1048576               78.53               78.53                0.31                0.31
               24576             2097152               79.47               79.47                0.31                0.31
               24576             4194304               75.40               75.40                0.33                0.33
               49152               65536               76.60               76.60                0.64                0.64
               49152              131072               76.33               76.33                0.64                0.64
               49152              262144               76.33               76.33                0.64                0.64
               49152              524288               76.54               76.54                0.64                0.64
               49152             1048576               75.72               75.72                0.65                0.65
               49152             2097152               75.77               75.77                0.65                0.65
               49152             4194304               76.03               76.03                0.65                0.65
               98304               65536               77.31               77.31                1.27                1.27
               98304              131072               76.77               76.77                1.28                1.28
               98304              262144               76.39               76.39                1.29                1.29
               98304              524288               76.83               76.83                1.28                1.28
               98304             1048576               77.43               77.43                1.27                1.27
               98304             2097152               76.88               76.88                1.28                1.28
               98304             4194304               77.00               77.00                1.28                1.28
              196608               65536               78.64               78.64                2.50                2.50
              196608              131072               78.83               78.83                2.49                2.49
              196608              262144               79.19               79.19                2.48                2.48
              196608              524288               79.20               79.20                2.48                2.48
              196608             1048576               78.96               78.96                2.49                2.49
              196608             2097152               78.47               78.47                2.51                2.51
